Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Инженер-программист,Инженер-программист,"100 000 – 150 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/117000391?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист / Веб-разработчик Битрикс,Web-программист / Веб-разработчик Битрикс,"от 60 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116993937?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - верстальщик (офис),Программист - верстальщик (офис),"от 60 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116647593?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Программист,"40 000 – 55 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/115498641?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,"от 170 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116460296?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист разработчик 1С,Программист разработчик 1С,"от 180 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/103590292?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,"от 170 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117344741?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров С++,Программист микроконтроллеров С++,"от 100 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/116143838?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 3 категории,Инженер-программист 3 категории,"от 45 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117480516?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,"от 36 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/111469592?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,Инженер-программист 1С,"до 79 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117599042?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP Backend разработчик,PHP Backend разработчик,"от 134 911 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/117045346?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend php разработчик (Junior),Backend php разработчик (Junior),"от 60 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117559821?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue.js),Frontend-разработчик (Vue.js),"90 000 – 180 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116510529?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,"от 70 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117502611?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET-разработчик,.NET-разработчик,"200 000 – 300 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117210206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист Vue.js,Специалист Vue.js,"42 000 – 53 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/116559651?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Инженер-программист,"39 000 – 63 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/108315483?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
